rank,outlet_id,name,type,R,S,D,I_mean_item,best_item_I,confidence,n_items,n_scored,r_people,reach_raw,reach_unit,reach_flag,reach_source,reach_source_url,reach_date,r_basis,url
16,majority_report,The Majority Report with Sam Seder,podcast,0.00159542,0.129562,0.545833,0.00011313,0.00016273,high,8,8,418000.000000,2090000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://majorityreportradio.com/
17,cnn,CNN,cable,0.00176718,0.118813,0.487500,0.00010331,0.00012441,high,8,8,463000.000000,463000.000000,avg_total_day_viewers,ok,Nielsen via MediaPost (July 2026 monthly),https://www.mediapost.com/publications/article/416906/ms-now-cnn-newsnation-viewing-up-in-july.html,2026-07,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.cnn.com
18,charlie_kirk_show,The Charlie Kirk Show,podcast,0.00448855,0.059900,0.386667,0.00010328,0.00020827,medium,5,5,1176000.000000,5880000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCfaIu2jO-fppCQV_lchCRIQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://thecharliekirkshow.com/
19,bulwark_podcast,The Bulwark Podcast (now The Bulwark Daily),podcast,0.00133588,0.141625,0.525000,0.00009935,0.00012150,high,8,8,350000.000000,1750000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCG4Hp1KbGw4e02N7FpPXDgQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.thebulwark.com/s/bulwarkpodcast
20,univision_noticias,N+ Univision (Noticias Univision),tv,0.00480916,0.055333,0.416667,0.00009331,0.00016159,high,6,6,1260000.000000,1260000.000000,avg_total_viewers_flagship_newscast,ok,Nielsen via The Desk (week ending 2026-07-12),https://thedesk.net/2026/07/telemundo-fifa-world-cup-ratings-univision/,2026-07-12,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.univision.com/noticias
21,megyn_kelly_show,The Megyn Kelly Show,podcast,0.00316794,0.047286,0.538095,0.00008234,0.00020718,high,7,7,830000.000000,4150000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCzJXNzqz6VMHSNInQt_7q6w/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.megynkelly.com/
22,breaking_points,Breaking Points,podcast,0.00159542,0.100333,0.400000,0.00007112,0.00012069,medium,3,3,418000.000000,2090000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCDRIjKy6eZOvKtOELtTdeUA/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://breakingpoints.supercast.com/
23,lex_fridman_podcast,Lex Fridman Podcast,podcast,0.00384733,0.028000,0.500000,0.00005386,0.00005386,low,1,1,1008000.000000,5040000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCSHZKyawb77ixDdsGog4iWA/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://lexfridman.com/podcast/
24,nyt,The New York Times,print_digital,0.00157548,0.147437,0.237500,0.00004958,0.00008655,high,8,8,412775.000000,330220000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/nytimes.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.nytimes.com/
25,fox_business,Fox Business,cable,0.00055725,0.138750,0.437500,0.00003213,0.00004564,high,8,8,146000.000000,146000.000000,avg_total_day_viewers,self_reported,"Nielsen via Fox Business press release (Q2 2026, M-F total day)",https://press.foxnews.com/2026/07/fox-business-network-secures-seventh-straight-quarterly-win-outpacing-cnbc-in-business-day-and-total-day-during-2q-2026,2026-Q2,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.foxbusiness.com
