rank,outlet_id,name,type,R,S,D,I_mean_item,best_item_I,confidence,n_items,n_scored,r_people,reach_raw,reach_unit,reach_flag,reach_source,reach_source_url,reach_date,r_basis,url
,newsnation,NewsNation,cable,0.00025954,,,,,low,0,0,68000.000000,68000.000000,avg_total_day_viewers,ok,Nielsen via MediaPost (July 2026 monthly),https://www.mediapost.com/publications/article/416906/ms-now-cnn-newsnation-viewing-up-in-july.html,2026-07,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.newsnationnow.com
,oan,One America News Network,cable,,,,,,low,8,0,,,,unsourced,,,,no sourced reach figure,https://www.oann.com
,american_conservative,The American Conservative,print_digital,,,,,,low,7,0,,,,unsourced,,,,no sourced reach figure,https://www.theamericanconservative.com/
,bulwark,The Bulwark,print_digital,,,,,,low,4,0,,,,unsourced,,,,no sourced reach figure,https://www.thebulwark.com/
,buzzfeed_news,BuzzFeed News,print_digital,,,,,,low,0,0,,,,unsourced,,,,no sourced reach figure,https://www.buzzfeednews.com/
,dispatch,The Dispatch,print_digital,,,,,,low,6,0,,,,unsourced,,,,no sourced reach figure,https://thedispatch.com/
,intercept,The Intercept,print_digital,,,,,,low,8,0,,,,unsourced,,,,no sourced reach figure,https://theintercept.com/
,national_review,National Review,print_digital,,,,,,low,0,0,,,,unsourced,,,,no sourced reach figure,https://www.nationalreview.com/
,new_republic,The New Republic,print_digital,,,,,,low,8,0,,,,unsourced,,,,no sourced reach figure,https://newrepublic.com/
,puck,Puck,print_digital,,,,,,low,0,0,,,,unsourced,,,,no sourced reach figure,https://puck.news/
,reuters,Reuters,print_digital,0.00018416,,,,,low,0,0,48250.000000,38600000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/reuters.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.reuters.com/
,semafor,Semafor,print_digital,,,,,,low,8,0,,,,unsourced,,,,no sourced reach figure,https://www.semafor.com/
,usa_today,USA Today,print_digital,0.00034866,,,,,low,0,0,91350.000000,73080000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/usatoday.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.usatoday.com/
,washington_times,The Washington Times,print_digital,0.00000544,,,,,low,0,0,1425.000000,1140000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/washingtontimes.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.washingtontimes.com/
,wsj,The Wall Street Journal,print_digital,0.00018402,,,,,low,0,0,48212.500000,38570000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/wsj.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.wsj.com/
,glenn_greenwald,Glenn Greenwald / System Update,newsletter,,,,,,low,1,0,,310000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://greenwald.substack.com/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://greenwald.substack.com
,letters_from_an_american,Letters from an American (Heather Cox Richardson),newsletter,,,,,,low,8,0,,2900000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://heathercoxrichardson.substack.com/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://heathercoxrichardson.substack.com
,persuasion,Persuasion (Yascha Mounk),newsletter,,,,,,low,7,0,,127000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://www.persuasion.community/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://www.persuasion.community
,popular_information,Popular Information (Judd Legum),newsletter,,,,,,low,8,0,,541000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://popular.info/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://popular.info
,public_notice,Public Notice (Aaron Rupar),newsletter,,,,,,low,8,0,,270000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://www.publicnotice.co/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://www.publicnotice.co
,public_shellenberger,Public (Michael Shellenberger),newsletter,,,,,,low,4,0,,204000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://www.public.news/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://www.public.news
,punchbowl_news,Punchbowl News,newsletter,,,,,,low,0,0,,,,unsourced,,,,no sourced reach figure,https://punchbowl.news
,racket_news,Racket News (Matt Taibbi),newsletter,,,,,,low,1,0,,442000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://www.racket.news/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://www.racket.news
,robert_reich,Robert Reich,newsletter,,,,,,low,8,0,,1100000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://robertreich.substack.com/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://robertreich.substack.com
,silver_bulletin,Silver Bulletin (Nate Silver),newsletter,,,,,,low,8,0,,324000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://www.natesilver.net/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://www.natesilver.net
,slow_boring,Slow Boring (Matthew Yglesias),newsletter,,,,,,low,8,0,,200000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://www.slowboring.com/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://www.slowboring.com
,tangle,Tangle (Isaac Saul),newsletter,,,,,,low,7,0,,500000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://www.readtangle.com/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://www.readtangle.com
,the_contrarian,The Contrarian (Jennifer Rubin),newsletter,,,,,,low,8,0,,477000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://www.contrariannews.org/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://www.contrariannews.org
,weekly_dish,The Weekly Dish (Andrew Sullivan),newsletter,,,,,,low,4,0,,194000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://andrewsullivan.substack.com/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://andrewsullivan.substack.com
,zeteo,Zeteo (Mehdi Hasan),newsletter,,,,,,low,8,0,,707000.000000,subscribers_self_reported,self_reported,Publication page (self-reported),https://zeteo.com/,2026-09-03,no conversion rule for unit 'subscribers_self_reported',https://zeteo.com
,all_in_podcast,All-In Podcast,podcast,0.00085496,,,,,low,0,0,224000.000000,1120000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCESLZhusAkFfsNsApnjF_Cg/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://allin.com/
,bannon_war_room,Bannon's War Room,podcast,,,,,,low,0,0,,,,unsourced,,,,no sourced reach figure,https://warroom.org/
,ben_shapiro_show,The Ben Shapiro Show,podcast,0.00532824,,,,,low,0,0,1396000.000000,6980000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCnQC_G5Xsjhp9fEJKuIcrSw/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.dailywire.com/show/the-ben-shapiro-show
,candace_owens,Candace (Candace Owens),podcast,0.00464122,,,,,low,0,0,1216000.000000,6080000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCL0u5uz7KZ9q-pe-VC8TY-w/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://candaceowens.com/
,david_pakman_show,The David Pakman Show,podcast,0.00279389,,,,,low,0,0,732000.000000,3660000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCvixJtaXuNdMPUGdOPcY8Ag/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://davidpakman.com/
,hasan_piker,Hasan Piker (HasanAbi),podcast,0.00148855,,,,,low,0,0,390000.000000,1950000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCtoaZpBnrd0lhycxYJ4MNOQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.twitch.tv/hasanabi
,joe_rogan_experience,The Joe Rogan Experience,podcast,0.016107,,,,,low,0,0,4220000.000000,21100000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.joerogan.com/
,matt_walsh_show,The Matt Walsh Show,podcast,0.00263359,,,,,low,0,0,690000.000000,3450000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCO01ytfzgXYy4glnPJm4PPQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.dailywire.com/show/the-matt-walsh-show
,meidastouch,MeidasTouch,podcast,0.00492366,,,,,low,0,0,1290000.000000,6450000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://meidasnews.com/
,michael_knowles_show,The Michael Knowles Show,podcast,0.00199237,,,,,low,0,0,522000.000000,2610000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCr4kgAUTFkGIwlWSodg43QA/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.dailywire.com/show/the-michael-knowles-show
,morning_wire,Morning Wire (Daily Wire),podcast,0.00001618,,,,,low,0,0,4240.000000,21200.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCxUQLGMbb2cI8CqiwZ0WhAQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.dailywire.com/show/morning-wire
,npr_up_first,Up First (NPR),podcast,0.00066565,,,,,low,0,0,174400.000000,872000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCJnS2EsPfv46u1JR8cnD0NA/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.npr.org/podcasts/510318/up-first
,nyt_the_daily,The Daily (NYT),podcast,0.00039542,,,,,low,0,0,103600.000000,518000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCkdnY2hNC0sdlVXPtWuNQ8g/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.nytimes.com/column/the-daily
,pod_save_america,Pod Save America,podcast,0.00097710,,,,,low,0,0,256000.000000,1280000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCKRoXz3hHAu2XL_k3Ef4vJQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://crooked.com/podcast-series/pod-save-america/
,real_time_bill_maher,Real Time with Bill Maher,podcast,0.00226718,,,,,low,0,0,594000.000000,2970000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCy6kyFxaMqGtpE3pQTflK8A/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.billmaher.com/
,timcast_irl,Timcast IRL,podcast,0.00211450,,,,,low,0,0,554000.000000,2770000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCLwNTXWEjVd2qIHLcXxQWxA/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://timcast.com/
,tucker_carlson_show,The Tucker Carlson Show,podcast,0.00438168,,,,,low,0,0,1148000.000000,5740000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCGttrUON87gWfU6dMWm1fcA/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://tuckercarlson.com/
,young_turks,The Young Turks,podcast,0.00512214,,,,,low,0,0,1342000.000000,6710000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UC1yBKRuGpC1tSM73A0ZjYjQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://tyt.com/
,1a,1A (WAMU/NPR),radio,,,,,,low,1,0,,,,unsourced,,,,no sourced reach figure,https://the1a.org/
,brian_kilmeade_show,The Brian Kilmeade Show,radio,0.00458015,,,,,low,0,0,1200000.000000,6000000.000000,weekly_listeners,secondary,Talkers estimate via Wikipedia (List of most-listened-to radio programs),https://en.wikipedia.org/wiki/List_of_most-listened-to_radio_programs,,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled,https://radio.foxnews.com/fox-news-talk/brian-kilmeade/
,dan_bongino_show,The Dan Bongino Show,radio,0.00667939,,,,,low,0,0,1750000.000000,8750000.000000,weekly_listeners,secondary,Talkers estimate via Wikipedia (List of most-listened-to radio programs),https://en.wikipedia.org/wiki/List_of_most-listened-to_radio_programs,,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled,https://bongino.com/
,democracy_now,Democracy Now!,radio,,,,,,low,8,0,,,,unsourced,,,,no sourced reach figure,https://www.democracynow.org/
,erick_erickson_show,The Erick Erickson Show,radio,,,,,,low,7,0,,,,unsourced,,,,no sourced reach figure,https://erickerickson.com/
,glenn_beck_program,The Glenn Beck Program,radio,0.00763359,,,,,low,0,0,2000000.000000,10000000.000000,weekly_listeners,secondary,Talkers estimate via Wikipedia (List of most-listened-to radio programs),https://en.wikipedia.org/wiki/List_of_most-listened-to_radio_programs,,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled,https://www.glennbeck.com/
,sean_hannity_show,The Sean Hannity Show,radio,0.011069,,,,,low,0,0,2900000.000000,14500000.000000,weekly_listeners,secondary,Talkers estimate via Wikipedia (List of most-listened-to radio programs),https://en.wikipedia.org/wiki/List_of_most-listened-to_radio_programs,,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled,https://hannity.com/
,the_daily_show,The Daily Show,tv,,,,,,low,1,0,,,,unsourced,,,,no sourced reach figure,https://www.cc.com/fan-hub/the-daily-show
